,Strike,Ant,Venc_Opciones,Tipo_Opcion,Fecha_Futuro,Precio_Futuro,Fecha Actual,Dias_a_Vencimiento,volatilidad
13,7500.0,8.0,2022-07-01,put,2022-07-15,8039.6,2022-06-24,7,31.494140625
14,7600.0,14.0,2022-07-01,put,2022-07-15,8039.6,2022-06-24,7,30.45654296875
15,7800.0,34.0,2022-07-01,put,2022-07-15,8039.6,2022-06-24,7,26.67236328125
16,7900.0,53.0,2022-07-01,put,2022-07-15,8039.6,2022-06-24,7,24.71923828125
17,8000.0,79.0,2022-07-01,put,2022-07-15,8039.6,2022-06-24,7,22.003173828125
18,8100.0,115.0,2022-07-01,put,2022-07-15,8039.6,2022-06-24,7,18.218994140625
19,8200.0,96.0,2022-07-01,call,2022-07-15,8039.6,2022-06-24,7,36.529541015625
20,8300.0,57.0,2022-07-01,call,2022-07-15,8039.6,2022-06-24,7,33.966064453125
21,8400.0,31.0,2022-07-01,call,2022-07-15,8039.6,2022-06-24,7,32.012939453125
22,8500.0,15.0,2022-07-01,call,2022-07-15,8039.6,2022-06-24,7,30.33447265625
23,8600.0,6.0,2022-07-01,call,2022-07-15,8039.6,2022-06-24,7,28.564453125
24,7300.0,14.0,2022-07-08,put,2022-07-15,8039.6,2022-06-24,14,32.623291015625
25,7400.0,20.0,2022-07-08,put,2022-07-15,8039.6,2022-06-24,14,31.6162109375
26,7500.0,28.0,2022-07-08,put,2022-07-15,8039.6,2022-06-24,14,30.487060546875
27,7600.0,40.0,2022-07-08,put,2022-07-15,8039.6,2022-06-24,14,29.60205078125
28,7900.0,100.0,2022-07-08,put,2022-07-15,8039.6,2022-06-24,14,25.726318359375
29,8000.0,133.0,2022-07-08,put,2022-07-15,8039.6,2022-06-24,14,24.261474609375
30,8400.0,43.0,2022-07-08,call,2022-07-15,8039.6,2022-06-24,14,25.5279541015625
31,8500.0,24.0,2022-07-08,call,2022-07-15,8039.6,2022-06-24,14,24.47509765625
32,7200.0,23.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,33.203125
33,7300.0,30.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,32.2265625
34,7400.0,39.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,31.2042236328125
35,7500.0,50.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,30.059814453125
36,7600.0,65.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,29.11376953125
37,7700.0,83.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,27.984619140625
38,7800.0,106.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,26.9012451171875
39,7900.0,134.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,25.69580078125
40,8000.0,168.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,24.383544921875
41,8100.0,210.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,23.0712890625
42,8300.0,323.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,20.5078125
43,8500.0,468.0,2022-07-15,put,2022-07-15,8039.6,2022-06-24,21,14.892578125
44,7600.0,544.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,35.9649658203125
45,7700.0,462.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,34.1796875
46,7800.0,385.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,32.5927734375
47,7900.0,313.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,31.036376953125
48,8000.0,247.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,29.541015625
49,8100.0,189.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,28.2135009765625
50,8200.0,142.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,27.374267578125
51,8300.0,102.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,26.4434814453125
52,8400.0,71.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,25.69580078125
53,8500.0,47.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,24.96337890625
54,8600.0,29.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,24.10888671875
55,8700.0,17.0,2022-07-15,call,2022-07-15,8039.6,2022-06-24,21,23.406982421875
56,6900.0,58.0,2022-08-19,put,2022-07-15,8039.6,2022-06-24,56,33.355712890625
57,7000.0,67.0,2022-08-19,put,2022-07-15,8039.6,2022-06-24,56,32.4859619140625
58,7200.0,90.0,2022-08-19,put,2022-07-15,8039.6,2022-06-24,56,30.8380126953125
59,7300.0,104.0,2022-08-19,put,2022-07-15,8039.6,2022-06-24,56,29.9835205078125
60,7400.0,121.0,2022-08-19,put,2022-07-15,8039.6,2022-06-24,56,29.22821044921875
61,7700.0,186.0,2022-08-19,put,2022-07-15,8039.6,2022-06-24,56,26.702880859375
